"Trait","SI","X0","XS_GEBV","XS_GETGV","DS_GEBV","DS_GETGV"
"N_Roots",10,4.29294224924012,4.54141895187652,4.55744870663526,5.78802807515937,6.16142594142655
"N_Roots",15,4.29294224924012,4.50334357024566,4.51974103107452,4.90109833279913,5.28306156167238
"N_Roots",20,4.29294224924012,4.48175514584209,4.49723693212026,4.39821655265431,4.75885001519193
"N_Roots",25,4.29294224924012,4.4643469911574,4.47594647855978,3.99271017325284,4.26290918197302
"N_Roots",30,4.29294224924012,4.45395296956134,4.46898889797365,3.75059134209692,4.10083897039813
"FRY",10,4.94615604283529,5.62186946186591,5.62647091649473,13.661384986214,13.754415909399
"FRY",15,4.94615604283529,5.53592068007787,5.51327428465719,11.9236965460659,11.4658380550567
"FRY",20,4.94615604283529,5.45648557996858,5.46355240553185,10.3176999009671,10.4605750044225
"FRY",25,4.94615604283529,5.39631901769994,5.39455606349537,9.1012691667246,9.06562625151315
"FRY",30,4.94615604283529,5.34493346273579,5.34404473424768,8.06237038312089,8.044402319024
"ShY",10,14.2276081534772,15.6145489359386,15.6685259597428,9.74823573646481,10.1276180136674
"ShY",15,14.2276081534772,15.396292732552,15.4254757364425,8.21420274207617,8.41931806136016
"ShY",20,14.2276081534772,15.2533083116201,15.2215723249666,7.20922411608764,6.98616493206199
"ShY",25,14.2276081534772,15.1939341144954,15.2442737771542,6.79190732970849,7.14572409297455
"ShY",30,14.2276081534772,15.1446596314675,15.2026952075456,6.44557727551826,6.8534854456902
"DMC",10,29.0582529189292,29.6298748541879,29.6037455098452,1.96715864802153,1.87723808598519
"DMC",15,29.0582529189292,29.5476170923027,29.5810896690059,1.6840798197289,1.79927111081115
"DMC",20,29.0582529189292,29.4606000334913,29.5059793142616,1.38462252250562,1.5407891058747
"DMC",25,29.0582529189292,29.4253552306274,29.4348076778268,1.26333235766932,1.29586166087865
"DMC",30,29.0582529189292,29.3881509193605,29.4113545923658,1.13529881287667,1.21515107746392
"StY",10,1.51637718107623,1.67904631846661,1.68382916472471,10.7274851811557,11.0428978843929
"StY",15,1.51637718107623,1.646614246504,1.64735058849542,8.58869858060887,8.63725787051416
"StY",20,1.51637718107623,1.63630056997375,1.63039679353785,7.9085461318014,7.51921183492715
"StY",25,1.51637718107623,1.62320700698029,1.62170053127933,7.04506947461735,6.94572244409167
"StY",30,1.51637718107623,1.61521305257826,1.61460565065689,6.51789493639568,6.47783881256687
"Plant.Height",10,1.19188824662813,1.21848286116934,1.21451920517898,2.23130101470912,1.89874836125584
"Plant.Height",15,1.19188824662813,1.21097066886194,1.20980428097844,1.60102444904515,1.50316394183713
"Plant.Height",20,1.19188824662813,1.20653094483704,1.20535762604272,1.22852945738281,1.13008744340689
"Plant.Height",25,1.19188824662813,1.20478251530672,1.20490496082855,1.08183537467287,1.09210861313918
"Plant.Height",30,1.19188824662813,1.20377671033537,1.20576746122763,0.997447851413497,1.16447281351825
"HI",10,24.5559309228324,25.9672894650093,25.8642551577852,5.74752611339431,5.32793580118898
"HI",15,24.5559309228324,25.7481402932216,25.6983098019464,4.85507706523418,4.65215056478208
"HI",20,24.5559309228324,25.6075770377308,25.6312023210393,4.28265626826882,4.37886635854262
"HI",25,24.5559309228324,25.4511069133241,25.4109176010899,3.64545735734787,3.48179297679374
"HI",30,24.5559309228324,25.3060565274812,25.2714144052322,3.05476345818875,2.91368909876893
"StC",10,24.4195480996521,25.003698190067,24.9738076389304,2.39214127972834,2.26973708529128
"StC",15,24.4195480996521,24.9179410005068,24.9501434703185,2.0409587385517,2.17283042462998
"StC",20,24.4195480996521,24.829042465658,24.8740989412995,1.67691213750073,1.86142200417659
"StC",25,24.4195480996521,24.7936045219558,24.8007317075255,1.53179092740453,1.56097732160267
"StC",30,24.4195480996521,24.7553651687825,24.7773939581122,1.37519772175945,1.46540737363267
"Root.Le",10,23.2147300289559,23.8756477297365,23.829303033656,2.84697560538604,2.64734073553099
"Root.Le",15,23.2147300289559,23.7553706853688,23.7076790095315,2.32886902298051,2.12343188984221
"Root.Le",20,23.2147300289559,23.6976092991502,23.6426557087907,2.08005550610306,1.84333687835723
"Root.Le",25,23.2147300289559,23.6336176275176,23.6069212467499,1.80440435033794,1.68940675728214
"Root.Le",30,23.2147300289559,23.5822533600376,23.6067128155468,1.58314712522291,1.68850891697642
"Root.Di",10,28.8785406234032,29.6791025897798,29.6515705803643,2.77216905388849,2.67683179369064
"Root.Di",15,28.8785406234032,29.5805794269317,29.5787387185727,2.43100512828408,2.4246311622896
"Root.Di",20,28.8785406234032,29.5061124929142,29.5066054739227,2.17314260334323,2.17484968755832
"Root.Di",25,28.8785406234032,29.4452943890094,29.4266599842704,1.96254295879092,1.89801613597825
"Root.Di",30,28.8785406234032,29.3719439167496,29.3535235479333,1.70854649402366,1.64476083027951
"Stem.D",10,2.1124893018018,2.13611031983256,2.13533401468698,1.11816036230878,1.08141200363442
"Stem.D",15,2.1124893018018,2.13243843527797,2.13232974075891,0.944342461718307,0.939197132983541
"Stem.D",20,2.1124893018018,2.1310343166126,2.12883423968546,0.877874969353989,0.773728788577598
"Stem.D",25,2.1124893018018,2.12976657617107,2.12963415626019,0.817863283593369,0.81159485370035
"Stem.D",30,2.1124893018018,2.12934624268544,2.12952730148525,0.797965739720565,0.806536613885473
"Nstem.Plant",10,2.13093591516828,2.15583964336547,2.15916404159012,1.16867560492673,1.32468209019853
"Nstem.Plant",15,2.13093591516828,2.15332664014254,2.15561055880966,1.05074605082564,1.15792518516119
"Nstem.Plant",20,2.13093591516828,2.15089532201279,2.15122400584068,0.936649793287542,0.952074181489288
"Nstem.Plant",25,2.13093591516828,2.15173949083792,2.15039591862976,0.976264725821195,0.913213922716298
"Nstem.Plant",30,2.13093591516828,2.15162928818532,2.14975503205664,0.971093164733198,0.883138566223684
